bigram,neg_count,pos_count,pos_perc,neg_perc
able get,0,57,inf,0.0
absolute favorite,0,30,inf,0.0
absolutely delicious,-2,66,33.0,0.030303030303030304
absolutely love,0,91,inf,0.0
acai bowl,-1,131,131.0,0.007633587786259542
across street,-7,76,10.857142857142858,0.09210526315789473
actually taste,-4,84,21.0,0.047619047619047616
addition neighborhood,0,36,inf,0.0
adjust sugar,-1,64,64.0,0.015625
adjust sweetness,0,33,inf,0.0
ajisen ramen,-2,90,45.0,0.022222222222222223
almond milk,-11,116,10.545454545454545,0.09482758620689655
almost every,-7,41,5.857142857142857,0.17073170731707318
almost like,-3,22,7.333333333333333,0.13636363636363635
also add,0,30,inf,0.0
also delicious,0,42,inf,0.0
also get,-7,161,23.0,0.043478260869565216
also give,0,30,inf,0.0
also good,-2,104,52.0,0.019230769230769232
also great,0,70,inf,0.0
also like,-2,70,35.0,0.02857142857142857
also love,-1,91,91.0,0.01098901098901099
also make,-1,50,50.0,0.02
also nice,0,35,inf,0.0
also offer,-2,60,30.0,0.03333333333333333
also order,-5,100,20.0,0.05
also pretty,-1,45,45.0,0.022222222222222223
also really,-2,91,45.5,0.02197802197802198
also sell,-2,56,28.0,0.03571428571428571
also serve,-1,38,38.0,0.02631578947368421
also super,-1,45,45.0,0.022222222222222223
also taste,0,28,inf,0.0
also try,-3,142,47.333333333333336,0.02112676056338028
always come,-1,44,44.0,0.022727272727272728
always fresh,-2,52,26.0,0.038461538461538464
always friendly,-1,53,53.0,0.018867924528301886
always get,-15,164,10.933333333333334,0.09146341463414634
always good,-1,45,45.0,0.022222222222222223
always great,0,38,inf,0.0
always line,-2,24,12.0,0.08333333333333333
always make,-1,54,54.0,0.018518518518518517
always nice,0,25,inf,0.0
always order,-4,45,11.25,0.08888888888888889
amount ice,-3,66,22.0,0.045454545454545456
amount sugar,-8,49,6.125,0.16326530612244897
amount sweetness,0,88,inf,0.0
another one,-4,30,7.5,0.13333333333333333
another place,0,33,inf,0.0
answer question,-1,33,33.0,0.030303030303030304
anything else,-4,38,9.5,0.10526315789473684
anything special,-3,22,7.333333333333333,0.13636363636363635
anywhere else,-6,46,7.666666666666667,0.13043478260869565
area would,-3,30,10.0,0.1
around area,-4,60,15.0,0.06666666666666667
around chinatown,-3,37,12.333333333333334,0.08108108108108109
around corner,-6,43,7.166666666666667,0.13953488372093023
asian snack,-1,46,46.0,0.021739130434782608
ask less,-6,60,10.0,0.1
ask sugar,-3,29,9.666666666666666,0.10344827586206896
ask want,-9,27,3.0,0.3333333333333333
authentic taiwanese,0,53,inf,0.0
awesome place,0,27,inf,0.0
açaí bowl,-1,67,67.0,0.014925373134328358
back area,0,37,inf,0.0
back get,-7,58,8.285714285714286,0.1206896551724138
back home,-3,38,12.666666666666666,0.07894736842105263
back next,0,58,inf,0.0
back place,-3,27,9.0,0.1111111111111111
back soon,0,63,inf,0.0
back sure,-4,24,6.0,0.16666666666666666
back time,-1,26,26.0,0.038461538461538464
back try,-9,392,43.55555555555556,0.02295918367346939
bad experience,-4,23,5.75,0.17391304347826086
bad thing,-3,30,10.0,0.1
ball drink,-1,31,31.0,0.03225806451612903
banh sandwich,-2,71,35.5,0.028169014084507043
barely taste,-4,21,5.25,0.19047619047619047
bay ridge,-3,64,21.333333333333332,0.046875
bear house,-1,46,46.0,0.021739130434782608
beef noodle,-2,123,61.5,0.016260162601626018
beef pho,-4,31,7.75,0.12903225806451613
behind counter,-14,117,8.357142857142858,0.11965811965811966
bento box,-12,195,16.25,0.06153846153846154
best brown,0,29,inf,0.0
best ever,-4,153,38.25,0.026143790849673203
best milk,-1,42,42.0,0.023809523809523808
best nyc,-1,45,45.0,0.022222222222222223
best part,-2,57,28.5,0.03508771929824561
best place,-1,129,129.0,0.007751937984496124
best seller,0,27,inf,0.0
best shop,0,27,inf,0.0
best spot,0,25,inf,0.0
best thing,-1,28,28.0,0.03571428571428571
bian dang,0,47,inf,0.0
biao sugar,-3,32,10.666666666666666,0.09375
big fan,-4,101,25.25,0.039603960396039604
bit expensive,-1,37,37.0,0.02702702702702703
bit hard,-2,27,13.5,0.07407407407407407
bit high,-1,30,30.0,0.03333333333333333
bit pricey,-1,56,56.0,0.017857142857142856
bit small,-1,47,47.0,0.02127659574468085
bit sweet,-4,99,24.75,0.04040404040404041
black flavor,-1,35,35.0,0.02857142857142857
black ice,-2,41,20.5,0.04878048780487805
black latte,-4,45,11.25,0.08888888888888889
black milk,-22,234,10.636363636363637,0.09401709401709402
black oolong,-2,67,33.5,0.029850746268656716
black sesame,0,102,inf,0.0
black soft,-1,110,110.0,0.00909090909090909
black sugar,-3,73,24.333333333333332,0.0410958904109589
block away,-14,54,3.857142857142857,0.25925925925925924
blow away,-1,35,35.0,0.02857142857142857
board game,-4,115,28.75,0.034782608695652174
boil egg,-2,33,16.5,0.06060606060606061
bottom cup,-1,25,25.0,0.04
boyfriend get,-2,38,19.0,0.05263157894736842
braise beef,0,30,inf,0.0
braised beef,0,30,inf,0.0
bring back,-1,67,67.0,0.014925373134328358
bring cash,0,30,inf,0.0
brown sugar,-77,1543,20.038961038961038,0.049902786779001944
buy drink,-4,33,8.25,0.12121212121212122
buy get,0,38,inf,0.0
buy one,-4,65,16.25,0.06153846153846154
caramel oolong,-1,30,30.0,0.03333333333333333
card get,0,34,inf,0.0
card minimum,-5,53,10.6,0.09433962264150944
carrot daikon,-3,22,7.333333333333333,0.13636363636363635
chance try,-1,41,41.0,0.024390243902439025
check place,-3,73,24.333333333333332,0.0410958904109589
check yelp,-1,39,39.0,0.02564102564102564
cheese foam,-2,54,27.0,0.037037037037037035
chewy soft,0,27,inf,0.0
chewy sweet,-1,49,49.0,0.02040816326530612
chewy texture,-1,42,42.0,0.023809523809523808
chicken bento,-3,29,9.666666666666666,0.10344827586206896
chicken bowl,0,34,inf,0.0
chicken good,0,24,inf,0.0
chicken leg,-4,84,21.0,0.047619047619047616
chicken pork,-1,34,34.0,0.029411764705882353
chicken rice,-4,100,25.0,0.04
chicken sandwich,-7,152,21.714285714285715,0.046052631578947366
chili oil,-2,43,21.5,0.046511627906976744
china town,-6,42,7.0,0.14285714285714285
chinatown location,-1,34,34.0,0.029411764705882353
choose sugar,-1,24,24.0,0.041666666666666664
classic banh,-2,35,17.5,0.05714285714285714
classic milk,-2,46,23.0,0.043478260869565216
classic sandwich,-3,43,14.333333333333334,0.06976744186046512
closing time,-5,21,4.2,0.23809523809523808
coconut jelly,-5,37,7.4,0.13513513513513514
coconut milk,-5,100,20.0,0.05
coffee drink,-1,32,32.0,0.03125
coffee good,-3,27,9.0,0.1111111111111111
coffee ice,0,35,inf,0.0
coffee milk,-2,61,30.5,0.03278688524590164
coffee shop,-2,100,50.0,0.02
cold brew,-3,41,13.666666666666666,0.07317073170731707
cold day,0,41,inf,0.0
cold drink,-5,53,10.6,0.09433962264150944
come across,-2,47,23.5,0.0425531914893617
come around,-3,31,10.333333333333334,0.0967741935483871
come back,-49,1048,21.387755102040817,0.046755725190839696
come drink,0,28,inf,0.0
come friend,-3,51,17.0,0.058823529411764705
come get,-6,56,9.333333333333334,0.10714285714285714
come often,-1,31,31.0,0.03225806451612903
come one,-4,40,10.0,0.1
come place,-6,44,7.333333333333333,0.13636363636363635
come time,-3,36,12.0,0.08333333333333333
come try,-3,60,20.0,0.05
compare place,-3,51,17.0,0.058823529411764705
