id,alias,name,avg_rating,url,review_count,address,city,state,zip_code,latitude,longitude
V49pn2KD8848gpSRMqLIww,bar-pa-tea-new-york-2,Bar Pa Tea,4.5,https://www.yelp.com/biz/bar-pa-tea-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,826,,New York,NY,10012,40.72583832986661,-73.99800456775446
AYjVpQ5jYz5gJJqXh_B_CA,teado-tea-shop-new-york-6,Teado Tea Shop,4.5,https://www.yelp.com/biz/teado-tea-shop-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,448,145D Hester St,New York,NY,10002,40.7172143,-73.9949616
bvuPipiMPe5FURKZh06Zxg,tea-and-milk-astoria,Tea and Milk,4.5,https://www.yelp.com/biz/tea-and-milk-astoria?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,472,32-02 34th Ave,Astoria,NY,11106,40.75904,-73.92631
fUcjBGgmTlvxXn2azvAijw,yumpling-long-island-city,Yumpling,4.5,https://www.yelp.com/biz/yumpling-long-island-city?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,314,4911 Vernon Blvd,Long Island City,NY,11101,40.7430199,-73.9538229
ytYVlCkrzcAxxUcbT4NTgA,juice-vitality-new-york,Juice Vitality,5.0,https://www.yelp.com/biz/juice-vitality-new-york?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,213,192 1st Ave,New York,NY,10009,40.72966,-73.9834
NqnYnZtajJ4Y-Lmxa26VdA,hancos-brooklyn,Hanco's,4.0,https://www.yelp.com/biz/hancos-brooklyn?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,710,134 Smith St,Brooklyn,NY,11201,40.6870318621828,-73.9904292380982
DbhBca8LzskjS0B-L4QfZg,tiger-sugar-new-york-9,Tiger Sugar,4.0,https://www.yelp.com/biz/tiger-sugar-new-york-9?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,524,197 Canal St,New York,NY,10013,40.717891007822274,-73.99977985007176
Q0JWPHcXTDKNP4c8QNU4pw,taiyaki-nyc-williamsburg-brooklyn-7,Taiyaki NYC - Williamsburg ,4.5,https://www.yelp.com/biz/taiyaki-nyc-williamsburg-brooklyn-7?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,266,294 Bedford Ave,Brooklyn,NY,11249,40.7143691,-73.9615536
6xPlSpyxE3PLJVeRvt2BwQ,yaya-tea-garden-new-york-3,Yaya Tea Garden,4.0,https://www.yelp.com/biz/yaya-tea-garden-new-york-3?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,514,51 Chrystie St,New York,NY,10002,40.7162999,-73.99496
YVfmHNQMFwOiS52niAQajA,surreal-creamery-new-york-2,Surreal Creamery,4.5,https://www.yelp.com/biz/surreal-creamery-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,370,538 2nd Ave,New York,NY,10016,40.742016,-73.977582
